                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                  0.415,                0.23438,                0.97123,                0.96641,                0.96275,                0.98222,                0.82661,                0.57431,                0.23758,                0.66738,              0.0063865,              0.0063865,              0.0063865
                     75,                0.41422,                0.23515,                 0.9717,                0.95711,                 0.9759,                0.98164,                 0.8264,                0.56074,                0.23525,                0.65914,               0.006337,               0.006337,               0.006337
                     76,                0.41316,                0.23092,                0.97178,                0.96769,                0.96469,                0.98173,                0.82735,                0.58131,                0.26327,                0.68246,              0.0062875,              0.0062875,              0.0062875
                     77,                0.40811,                0.22897,                 0.9666,                0.97452,                0.96991,                0.98512,                0.82312,                 0.5801,                0.28597,                0.67923,               0.006238,               0.006238,               0.006238
                     78,                0.41471,                0.22984,                0.96872,                0.96706,                0.97604,                0.98496,                0.82487,                0.57742,                0.27691,                0.67962,              0.0061885,              0.0061885,              0.0061885
                     79,                0.40435,                0.22728,                0.96876,                0.97229,                0.96418,                0.98373,                 0.8215,                0.58096,                  0.258,                0.68808,               0.006139,               0.006139,               0.006139
                     80,                0.39869,                0.22445,                0.96419,                0.97615,                0.96684,                0.98112,                0.82268,                0.56734,                0.26268,                0.67078,              0.0060895,              0.0060895,              0.0060895
                     81,                0.40222,                0.22594,                0.96659,                  0.968,                0.96833,                 0.9818,                0.82625,                0.56532,                0.26289,                0.67374,                0.00604,                0.00604,                0.00604
                     82,                0.40979,                0.23054,                0.97238,                0.96848,                0.97695,                0.98331,                0.82425,                0.57598,                0.25457,                0.68162,              0.0059905,              0.0059905,              0.0059905
                     83,                0.40146,                0.22401,                0.96269,                0.96945,                0.96944,                0.98068,                0.81893,                0.58057,                0.24987,                0.67857,               0.005941,               0.005941,               0.005941
                     84,                0.39921,                0.22225,                0.96237,                0.97225,                0.96848,                 0.9827,                0.82331,                0.57559,                0.27224,                0.66772,              0.0058915,              0.0058915,              0.0058915
                     85,                0.40051,                0.22605,                0.96207,                0.97552,                0.95305,                0.98235,                0.82481,                0.57828,                0.27181,                0.68457,               0.005842,               0.005842,               0.005842
                     86,                0.40242,                0.22159,                0.96507,                 0.9753,                0.96705,                0.98632,                0.82771,                0.57875,                0.26657,                0.68577,              0.0057925,              0.0057925,              0.0057925
                     87,                0.40262,                0.22185,                0.96392,                0.96076,                0.97851,                0.98579,                0.82349,                0.59772,                0.28956,                0.69313,               0.005743,               0.005743,               0.005743
                     88,                0.40108,                0.21876,                0.96168,                 0.9731,                0.96418,                 0.9861,                0.82712,                0.59622,                 0.2805,                0.68593,              0.0056935,              0.0056935,              0.0056935
                     89,                0.38951,                0.21777,                0.95638,                0.97116,                0.97813,                0.98423,                0.82384,                0.59915,                0.28484,                0.69126,               0.005644,               0.005644,               0.005644
                     90,                 0.3973,                0.21947,                0.95471,                0.96838,                0.97994,                0.98577,                0.82444,                0.60305,                0.29061,                0.69239,              0.0055945,              0.0055945,              0.0055945
                     91,                0.39601,                0.22001,                0.95732,                0.97028,                0.97994,                0.98358,                0.82442,                0.59838,                0.28155,                0.68832,               0.005545,               0.005545,               0.005545
                     92,                0.38851,                0.21615,                0.96051,                0.96846,                 0.9777,                0.98194,                0.82366,                0.59661,                0.28189,                0.68745,              0.0054955,              0.0054955,              0.0054955
                     93,                0.38743,                 0.2146,                0.95917,                0.97049,                0.97421,                0.98341,                0.82615,                0.58804,                0.28014,                0.68962,               0.005446,               0.005446,               0.005446
                     94,                0.38966,                0.21724,                0.95664,                0.97053,                0.96546,                0.97921,                0.82292,                0.58342,                0.28048,                0.68584,              0.0053965,              0.0053965,              0.0053965
                     95,                0.39787,                0.22037,                0.96101,                0.96425,                0.97331,                0.98236,                0.82523,                0.57728,                0.27982,                0.68723,               0.005347,               0.005347,               0.005347
                     96,                0.38692,                0.21256,                0.95799,                0.96486,                0.97135,                0.98244,                0.82426,                 0.5788,                0.28133,                0.68397,              0.0052975,              0.0052975,              0.0052975
                     97,                0.38373,                0.20808,                0.94939,                0.95947,                0.97851,                0.98186,                0.82487,                0.55711,                 0.2176,                0.64933,               0.005248,               0.005248,               0.005248
                     98,                0.39035,                0.21213,                0.95489,                0.95826,                0.98424,                0.97912,                0.82447,                0.56098,                0.21796,                0.65163,              0.0051985,              0.0051985,              0.0051985
